campus,policy,R0,gamma,beta,budget_fraction,cost_used,n_edges_removed,steady_state_prevalence,steady_state_ci_low,steady_state_ci_high,peak_prevalence,time_to_extinction,lambda_residual,n_realizations,seed,cost_function,steady_ci_width
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.005,245.5236332344058,432,0.405875203520352,0.4045571463146314,0.4072019779977998,0.40937777777777773,,123.8993479080231,50,42,sigmoid_dot,0.0026448316831683694
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.01,491.13907994203396,867,0.40347775577557754,0.40218668866886687,0.404747205720572,0.40704888888888896,,123.33947768020437,50,42,sigmoid_dot,0.0025605170517051246
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.02,982.7268629792627,1736,0.3986089328932892,0.39738598899889993,0.39983855665566564,0.4021688888888888,,122.39185464017686,50,42,sigmoid_dot,0.002452567656765714
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.05,2457.5318769718115,4341,0.38422917491749176,0.3829871815181518,0.3855145236523652,0.3874666666666667,,119.35316289982987,50,42,sigmoid_dot,0.002527342134213406
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.1,4915.718390823037,8653,0.36074992299229924,0.359398695269527,0.3621311595159516,0.36496888888888873,,114.081720225076,50,42,sigmoid_dot,0.002732464246424593
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.2,9831.762561192378,17245,0.3106825082508251,0.3088961672167217,0.31242010341034104,0.3174666666666667,,103.25829521260322,50,42,sigmoid_dot,0.003523936193619348
Bowdoin47,betweenness,3.0,0.1,0.002415058267040779,0.4,19663.16732502321,34271,0.2056929372937294,0.19232869966996702,0.215276294829483,0.21104000000000003,,84.91285147422332,50,42,sigmoid_dot,0.02294759515951597
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.0,0.0,0,0.4084965456545654,0.4071520374037404,0.4097905368536853,0.4118577777777778,,124.22060539665418,50,42,sigmoid_dot,0.002638499449944931
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.005,245.5,491,0.4066886688668867,0.405340596259626,0.4079919251925193,0.4100355555555556,,123.39702169678611,50,42,sigmoid_dot,0.0026513289328933265
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.01,491.5,983,0.4048734873487349,0.40352986578657873,0.4061868668866887,0.4083111111111112,,122.60274895164822,50,42,sigmoid_dot,0.002657001100109968
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.02,983.0,1966,0.4011039823982398,0.3997467304730473,0.40239696809680975,0.40464,,120.98046499137851,50,42,sigmoid_dot,0.0026502376237624303
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.05,2457.4593160780323,4741,0.3897749614961496,0.38842598679868,0.3911430253025303,0.3932266666666667,,116.15018246931315,50,42,sigmoid_dot,0.0027170385038502998
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.1,4915.574035832888,9330,0.36968563256325637,0.36820399559956,0.37119086908690874,0.3729511111111112,,108.62658632324117,50,42,sigmoid_dot,0.002986873487348718
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.2,9831.66260963897,18057,0.3231314411441144,0.3214328470847085,0.32503989218921886,0.3273244444444445,,96.2248463598582,50,42,sigmoid_dot,0.0036070451045103757
Bowdoin47,distance_threshold,3.0,0.1,0.002415058267040779,0.4,19663.345902393157,34522,0.07723124312431243,0.06386361716171618,0.09134845764576457,0.08221333333333333,,84.72702625892995,50,42,sigmoid_dot,0.027484840484048395
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.0,0.0,0,0.4084965456545654,0.4071520374037404,0.4097905368536853,0.4118577777777778,,124.22060539665426,50,42,sigmoid_dot,0.002638499449944931
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.005,245.33765653731922,438,0.40751788778877895,0.4061764092409242,0.4088165544554455,0.41088888888888886,,120.29976199471152,50,42,sigmoid_dot,0.0026401452145213278
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.01,491.51734857621216,878,0.40631947194719475,0.404998695269527,0.4076130341034103,0.4095911111111111,,117.96133751416829,50,42,sigmoid_dot,0.002614338833883345
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.02,982.9035224156141,1754,0.4039299449944994,0.4025719383938393,0.40525480528052804,0.40702222222222223,,114.26799188476028,50,42,sigmoid_dot,0.0026828668866887284
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.05,2457.393238283861,4351,0.39506948294829486,0.3937191375137514,0.3963976303630363,0.39845333333333344,,105.81268761309248,50,42,sigmoid_dot,0.002678492849284897
Bowdoin47,gnn,3.0,0.1,0.002415058267040779,0.1,4915.64789097395,8648,0.37727815181518154,0.3758217139713971,0.3787655181518152,0.38136000000000003,,95.14478154630854,50,42,sigmoid_dot,0.002943804180418119
